iter	Passed	Remaining
858	1638	268
859	1639	266
860	1641	264
861	1642	262
862	1643	260
863	1645	258
864	1649	257
865	1652	255
866	1654	253
867	1655	251
868	1657	249
869	1658	247
870	1659	245
871	1660	243
872	1664	242
873	1666	240
874	1668	238
875	1669	236
876	1670	234
877	1671	232
878	1672	230
879	1673	228
880	1674	226
881	1675	224
882	1676	222
883	1678	220
884	1680	218
885	1681	216
886	1682	214
887	1683	212
888	1684	210
889	1685	208
890	1686	206
891	1687	204
892	1688	202
893	1689	200
894	1690	198
895	1691	196
896	1693	194
897	1695	192
898	1696	190
899	1697	188
900	1698	186
901	1699	184
902	1700	182
903	1702	180
904	1703	178
905	1704	176
906	1705	174
907	1706	172
908	1710	171
909	1711	169
910	1712	167
911	1713	165
912	1714	163
913	1715	161
914	1716	159
915	1717	157
916	1718	155
917	1719	153
918	1720	151
919	1721	149
920	1725	148
921	1726	146
922	1727	144
923	1728	142
924	1729	140
925	1730	138
926	1731	136
927	1732	134
928	1733	132
929	1734	130
930	1735	128
931	1736	126
932	1740	125
933	1742	123
934	1743	121
935	1744	119
936	1745	117
937	1746	115
938	1747	113
939	1748	111
940	1749	109
941	1750	107
942	1752	105
943	1757	104
944	1759	102
945	1761	100
946	1762	98
947	1763	96
948	1765	94
949	1766	92
950	1767	91
951	1770	89
952	1771	87
953	1772	85
954	1773	83
955	1774	81
956	1775	79
957	1777	77
958	1778	76
959	1779	74
960	1780	72
961	1781	70
962	1782	68
963	1785	66
964	1786	64
965	1787	62
966	1788	61
967	1789	59
968	1790	57
969	1791	55
970	1793	53
971	1794	51
972	1795	49
973	1796	47
974	1797	46
975	1800	44
976	1801	42
977	1802	40
978	1804	38
979	1805	36
980	1806	34
981	1807	33
982	1808	31
983	1809	29
984	1810	27
985	1812	25
986	1813	23
987	1815	22
988	1816	20
989	1817	18
990	1818	16
991	1819	14
992	1820	12
993	1821	10
994	1822	9
995	1824	7
996	1825	5
997	1828	3
998	1830	1
999	1832	0
